4695;3000;4
4471;10000;3
4669;3000;4
4632;1000;4
4297;20000;3
4704;2000;4
4479;3000000;1
4665;5000;4
3511;5000;4
3726;10000;3
4618;0;4
4543;4200;4
4610;60000;2
4405;60000;2
4546;3000;4
4709;1000;4
4613;200;4
4693;200000;1
4598;200000;1
4716;50000;2
4660;200000;1
4685;10000;3
4554;250000;1
4515;1000;4
4646;300000;1
4525;60000;2
4768;30000000;1
4664;16000000;1
3502;200000;1
4301;277000;1
4461;500000;1
4688;4000;4
3454;4000;4
2928;1000;4
4649;200000;1
4442;100000;1
3688;3000;4
4272;4000;4
4530;4000;4
4507;56000;2
4478;4000;4
4682;4000;4
2032;40000;3
3672;4000;4
4289;100000;1
